Time,Angle
0,45.11373
0.003572464,45.22087
0.007406235,45.3359
0.01091385,45.44112
0.0148716,45.55987
0.01792908,45.65159
0.02183914,45.76889
0.02519798,45.86967
0.02892113,45.98137
0.03230858,46.08293
0.03639984,46.20573
0.03979492,46.30758
0.04342079,46.41631
0.04657555,46.51099
0.0513134,46.65308
0.05508995,46.76637
0.05859375,46.87153
0.06171608,46.96517
0.06563377,47.08271
0.06909561,47.18656
0.07292747,47.30152
0.07589912,47.39066
0.07988548,47.51028
0.08350563,47.61888
0.08754158,47.73997
0.0904808,47.82811
0.09419632,47.93958
0.09733772,48.03386
0.1014214,48.15633
0.104496,48.24858
0.1082916,48.36244
0.1116333,48.46272
0.1160049,48.59385
0.118988,48.68333
0.1293793,48.99506
0.1359749,49.19297
0.1396465,49.30312
0.1430302,49.40462
0.147419,49.5363
0.1503773,49.62502
0.1541424,49.73797
0.1572971,49.83258
0.1613388,49.95387
0.1642246,50.04044
0.1681309,50.15762
0.1714764,50.25801
0.1755905,50.3814
0.1786633,50.47359
0.1828251,50.59846
0.1860104,50.69401
0.1897831,50.80716
0.1930046,50.90385
0.1966934,51.01448
0.1999035,51.11081
0.2039871,51.2333
0.2069912,51.32344
0.2106991,51.4347
0.2145729,51.55087
0.218401,51.66573
0.2214069,51.75593
0.2249222,51.86136
0.2282467,51.96112
0.2320614,52.07553
0.2353477,52.17411
0.2388649,52.27965
0.2419872,52.3733
0.2461109,52.49702
0.2501068,52.61691
0.2541599,52.73853
0.2572994,52.8327
0.2613201,52.95332
0.2646198,53.05232
0.268465,53.16769
0.2719002,53.27074
0.2757816,53.38714
0.2790928,53.48651
0.2830372,53.60485
0.286335,53.70375
0.2901268,53.81749
0.2936954,53.92459
0.297327,54.03354
0.300642,54.13297
0.3045158,54.24921
0.3078976,54.35065
0.311491,54.45844
0.3151035,54.56682
0.3189201,54.68134
0.3221397,54.7779
0.325695,54.88455
0.328783,54.9772
0.3327065,55.09493
0.3360806,55.1961
0.3396626,55.3036
0.3428249,55.39845
0.3468456,55.51907
0.3505096,55.62899
0.3544655,55.74765
0.3574924,55.83849
0.3614235,55.95644
0.3647728,56.05688
0.3685036,56.16879
0.3717804,56.26711
0.3756237,56.38242
0.3792076,56.48995
0.3831196,56.6073
0.3863506,56.70423
0.3901711,56.81882
0.3937092,56.92496
0.3973351,57.03375
0.400425,57.12647
0.4044971,57.24859
0.4079132,57.35109
0.4115238,57.4594
0.4151936,57.5695
0.4190178,57.68423
0.4223328,57.78367
0.4258995,57.89071
0.4288807,57.98015
0.432909,58.101
0.436451,58.2072
0.4398956,58.31054
0.44277,58.39678
0.4467201,58.51531
0.4503994,58.62571
0.4541054,58.73685
0.4568748,58.81997
0.4608059,58.93788
0.46422,59.04029
0.4684429,59.16697
0.4718876,59.27032
0.4757099,59.38501
0.4791985,59.48964
0.4837151,59.62514
0.4868851,59.72027
0.4906158,59.8322
0.4943867,59.94531
0.4980221,60.05435
0.5009861,60.14329
0.5048084,60.25795
0.5079937,60.35352
0.5120888,60.47634
0.5157318,60.58566
0.5194054,60.69587
0.5292511,60.99125
0.5343151,61.14317
0.5381107,61.25702
0.5420513,61.37522
0.5450993,61.46671
0.5489979,61.58366
0.5527115,61.69502
0.556591,61.81143
0.5595856,61.90127
0.5631847,62.00923
0.566433,62.10667
0.5707588,62.23646
0.5743961,62.3456
0.5784264,62.46647
0.5818672,62.56974
0.5856037,62.68183
0.5886669,62.77369
0.5923119,62.88303
0.5955544,62.98035
0.5994892,63.09836
0.6029797,63.20308
0.6063919,63.30545
0.6093788,63.39506
0.6134396,63.51686
0.6169987,63.62368
0.6204815,63.72816
0.6233788,63.81505
0.6273365,63.93382
0.630785,64.03725
0.6346893,64.1544
0.6378326,64.24866
0.6415062,64.35887
0.6450996,64.46667
0.649271,64.59186
0.6530762,64.70598
0.6567059,64.81489
0.6599998,64.9137
0.6637039,65.02481
0.6669025,65.1208
0.6710587,65.24545
0.6746006,65.35174
0.6782818,65.46214
0.6818428,65.56896
0.6856194,65.68227
0.6889343,65.78176
0.6925678,65.89075
0.6956005,65.98174
0.6993923,66.09549
0.7029915,66.20344
0.7064934,66.30849
0.709362,66.39458
0.7136269,66.52251
0.7171993,66.62968
0.720808,66.73795
0.7237263,66.82549
0.7275105,66.93901
0.7307491,67.03616
0.7353458,67.17406
0.7384548,67.26737
0.7424297,67.3866
0.7459488,67.4922
0.75,67.6137
0.7533169,67.7132
0.7571564,67.82837
0.7603931,67.92551
0.7643089,68.04296
0.7673073,68.13292
0.7712975,68.25261
0.7746925,68.35448
0.7785072,68.46893
0.7817345,68.56573
0.7854099,68.676
0.7886906,68.77444
0.792923,68.90141
0.7960472,68.99514
0.7997627,69.10658
0.8031368,69.20784
0.8070259,69.32447
0.8098717,69.40989
0.8138294,69.52861
0.8173122,69.63308
0.8212605,69.75152
0.8241806,69.83913
0.8278236,69.94839
0.830883,70.0402
0.8353767,70.17503
0.8384762,70.26801
0.8422203,70.38033
0.8455715,70.48084
0.8502369,70.62082
0.8534508,70.71722
0.8571396,70.8279
0.8605042,70.92883
0.8644199,71.0463
0.867485,71.13829
0.8714275,71.25657
0.8747807,71.35712
0.8788357,71.47881
0.8822155,71.5802
0.8858051,71.68787
0.8890495,71.78522
0.8932114,71.91005
0.8963604,72.00452
0.8999214,72.11138
0.9033508,72.21425
0.9073067,72.33292
0.9101868,72.4193
0.9140835,72.53619
0.9175854,72.64126
0.9215412,72.75994
0.9245872,72.85134
0.9283409,72.96391
0.9318886,73.07034
0.935997,73.1936
0.9389858,73.28328
0.9426308,73.39265
0.9529228,73.7014
0.9579411,73.85196
0.9617157,73.96516
0.9655876,74.08134
0.9691277,74.18751
0.9728756,74.29997
0.9759979,74.39365
0.9799175,74.51122
0.9834003,74.61572
0.9869823,74.72316
0.9897823,74.80715
0.9938202,74.92831
0.9971848,75.02923
1.000933,75.14166
1.00404,75.23488
1.007824,75.34842
1.011366,75.45468
1.01535,75.57424
1.018274,75.6619
1.022165,75.77865
1.025181,75.86913
1.029142,75.98797
1.032366,76.08469
1.036339,76.20383
1.039526,76.2995
1.043621,76.42234
1.046759,76.51646
1.050993,76.6435
1.05455,76.75023
1.058302,76.86279
1.0613,76.95271
1.06489,77.06043
1.068199,77.15971
1.07243,77.28658
1.075569,77.38076
1.079407,77.49592
1.082895,77.60054
1.086823,77.71837
1.089674,77.80391
1.093466,77.91771
1.096663,78.01361
1.100624,78.13242
1.103699,78.22468
1.107307,78.33292
1.110592,78.43144
1.114902,78.5608
1.117977,78.65304
1.12167,78.76382
1.124821,78.85831
1.128649,78.97317
1.131802,79.06776
1.13538,79.1751
1.138479,79.26809
1.142109,79.37694
1.145647,79.4831
1.149641,79.60295
1.153076,79.70596
1.15663,79.81259
1.160097,79.91659
1.163713,80.02509
1.166813,80.1181
1.170769,80.23679
1.174313,80.34308
1.177797,80.44762
1.181025,80.54446
1.184706,80.65487
1.188074,80.75592
1.191481,80.85811
1.19504,80.96487
1.198706,81.07484
1.202099,81.17667
1.205656,81.28337
1.208494,81.36852
1.212885,81.50027
1.216732,81.61565
1.22036,81.7245
1.223499,81.81868
1.227428,81.93657
1.230728,82.03552
1.234486,82.14828
1.237373,82.23492
1.241266,82.35171
1.244968,82.46278
1.249224,82.59043
1.252508,82.68894
1.256233,82.80068
1.259607,82.90195
1.263481,83.01815
1.266476,83.10795
1.270473,83.22791
1.274216,83.34016
1.278313,83.46311
1.281813,83.56808
1.285721,83.68533
1.289089,83.78635
1.293081,83.90614
1.296221,84.00033
1.300156,84.11835
1.303621,84.22236
1.307219,84.33028
1.310089,84.41636
1.3146,84.55169
1.318336,84.66381
1.321905,84.77086
1.324883,84.86019
1.328888,84.98032
1.332474,85.08792
1.336374,85.20493
1.339392,85.29544
1.343313,85.4131
1.346882,85.52014
1.350927,85.64152
1.354095,85.73656
1.357792,85.84747
1.361013,85.94412
1.364794,86.05753
1.367773,86.1469
1.371683,86.26421
1.374996,86.36359
1.378889,86.4804
1.382153,86.57829
1.385916,86.6912
1.395691,86.98445
1.400684,87.13424
1.404821,87.25832
1.408806,87.37787
1.412085,87.47624
1.41609,87.59642
1.419287,87.6923
1.423107,87.8069
1.426723,87.9154
1.429726,88.00545
1.433729,88.1256
1.43725,88.23123
1.440805,88.33787
1.443684,88.42422
1.447517,88.5392
1.451345,88.65409
1.455643,88.783
1.458601,88.87173
1.462753,88.99631
1.466368,89.10472
1.470219,89.22028
1.473379,89.31509
1.477293,89.4325
1.480885,89.54028
1.484919,89.66127
1.488045,89.75507
1.491835,89.86875
1.495783,89.98718
1.499464,90.09762
1.502523,90.18943
1.506376,90.30501
1.509884,90.41022
1.513809,90.52798
1.516993,90.6235
1.520895,90.74058
1.524321,90.84335
1.528303,90.96278
1.531321,91.05334
1.535538,91.17984
1.53899,91.28339
1.542601,91.39171
1.545727,91.48553
1.549793,91.60751
1.553465,91.71764
1.557121,91.82737
1.560089,91.91638
1.56399,92.0334
1.567211,92.13005
1.57136,92.25448
1.574369,92.34479
1.578333,92.46368
1.581688,92.56433
1.585697,92.68463
1.588739,92.77589
1.5924,92.88567
1.595739,92.9859
1.599693,93.10451
1.602947,93.2021
1.60671,93.31503
1.610012,93.41405
1.614418,93.54625
1.617582,93.64116
1.621338,93.75385
1.624388,93.84536
1.628305,93.96285
1.631411,94.05602
1.635227,94.1705
1.638565,94.27065
1.642521,94.38932
1.645689,94.4844
1.649921,94.61136
1.653669,94.72379
1.657499,94.8387
1.660366,94.92465
1.664051,95.0352
1.667223,95.13037
1.671425,95.25645
1.674591,95.35141
1.678389,95.46536
1.681974,95.57294
1.685804,95.68784
1.688944,95.78203
1.692705,95.89487
1.696165,95.99865
1.7001,96.11669
1.703211,96.21003
1.706715,96.31515
1.710001,96.4137
1.714182,96.53916
1.71781,96.64794
1.721441,96.7569
1.724602,96.85174
1.728531,96.96963
1.732048,97.07513
1.735714,97.18509
1.738935,97.28175
1.742594,97.39149
1.746109,97.49694
1.750017,97.61419
1.753426,97.71644
1.757116,97.82716
1.760515,97.92913
1.764126,98.03747
1.767218,98.13019
1.771215,98.25011
1.774597,98.35159
1.778282,98.46211
1.781813,98.56804
1.785715,98.68512
1.789309,98.7929
1.79302,98.90427
1.796234,99.00069
1.80002,99.11427
1.803572,99.22084
1.807098,99.32664
1.809959,99.41247
1.81407,99.53575
1.817707,99.64489
1.8214,99.75565
1.824419,99.84623
1.828299,99.96263
1.831842,100.069
1.835526,100.1794
1.838539,100.2699
1.842302,100.3828
1.845791,100.4874
1.849874,100.6099
1.853304,100.7128
1.857018,100.8242
1.860394,100.9255
1.869219,101.1902
1.876453,101.4072
1.88135,101.5542
1.885361,101.6745
1.889254,101.7913
1.892792,101.8974
1.896441,102.0069
1.8995,102.0987
1.903509,102.2189
1.907055,102.3253
1.91058,102.431
1.914019,102.5342
1.918217,102.6601
1.921515,102.7591
1.924896,102.8605
1.927927,102.9515
1.93182,103.0683
1.935799,103.1876
1.939489,103.2984
1.942602,103.3918
1.946434,103.5067
1.950003,103.6137
1.953701,103.7247
1.95657,103.8108
1.960489,103.9283
1.963783,104.0271
1.967495,104.1385
1.970446,104.227
1.974722,104.3553
1.978275,104.4619
1.982224,104.5804
1.9851,104.6667
1.988962,104.7825
1.99247,104.8878
1.996368,105.0047
1.999405,105.0958
2.003504,105.2188
2.006807,105.3179
2.010485,105.4282
2.013788,105.5273
2.018181,105.659
2.021664,105.7635
2.025307,105.8729
2.028357,105.9643
2.032322,106.0833
2.035887,106.1902
2.039505,106.2988
2.042484,106.3882
2.046324,106.5034
2.049837,106.6087
2.054075,106.7359
2.056873,106.8199
2.0606,106.9316
2.063768,107.0267
2.072924,107.3014
2.077129,107.4275
2.081142,107.5479
2.084692,107.6544
2.088264,107.7616
2.091408,107.8559
2.095385,107.9752
2.098822,108.0783
2.102501,108.1887
2.105511,108.279
2.109423,108.3964
2.113325,108.5134
2.117188,108.6293
2.120171,108.7188
2.123884,108.8302
2.12719,108.9294
2.130663,109.0335
2.133806,109.1279
2.137964,109.2526
2.141094,109.3465
2.145123,109.4673
2.148441,109.5669
2.152224,109.6804
2.155426,109.7765
2.159388,109.8953
2.162445,109.987
2.166155,110.0983
2.169432,110.1966
2.173744,110.326
2.176886,110.4203
2.180857,110.5393
2.18432,110.6433
2.188406,110.7658
2.191486,110.8582
2.195292,110.9724
2.198442,111.067
2.202496,111.1886
2.205524,111.2794
2.2092,111.3897
2.21261,111.492
2.216949,111.6222
2.219788,111.7073
2.223515,111.8191
2.226572,111.9109
2.230543,112.03
2.233589,112.1214
2.237379,112.235
2.240726,112.3355
2.245108,112.4669
2.248266,112.5617
2.252419,112.6862
2.255751,112.7862
2.259476,112.898
2.262445,112.987
2.266125,113.0974
2.269409,113.196
2.273966,113.3327
2.277081,113.4261
2.280842,113.5389
2.284325,113.6434
2.288328,113.7635
2.291599,113.8616
2.295271,113.9718
2.298632,114.0727
2.302687,114.1943
2.305647,114.2831
2.309118,114.3873
2.312643,114.493
2.31702,114.6243
2.32011,114.717
2.32349,114.8184
2.332417,115.0862
2.33894,115.2819
2.342199,115.3797
2.34598,115.4931
2.349489,115.5984
2.353199,115.7097
2.356247,115.8011
2.360023,115.9144
2.363461,116.0175
2.366993,116.1235
2.370165,116.2187
2.374308,116.3429
2.3776,116.4417
2.381321,116.5534
2.384504,116.6489
2.388279,116.7621
2.391617,116.8623
2.395334,116.9737
2.398439,117.0669
2.402403,117.1858
2.40579,117.2874
2.409397,117.3957
2.4128,117.4977
2.41699,117.6234
2.420277,117.722
2.423916,117.8312
2.426786,117.9173
2.430559,118.0305
2.434202,118.1398
2.438524,118.2695
2.441597,118.3616
2.445576,118.481
2.449177,118.589
2.454044,118.7351
2.457432,118.8367
2.461458,118.9575
2.464756,119.0564
2.468805,119.1779
2.471933,119.2717
2.475708,119.385
2.479073,119.4859
2.483341,119.614
2.486319,119.7033
2.489927,119.8116
2.493402,119.9158
